Rbr,Ime,Prezime,Broj_indeksa,Godina_upisa,Smena,T1,T2,K1,K2,Ukupno_bodova
1,Erling,Haaland,291,2019,6,0.0,0.0,0.0,0,0.0
2,Thomas,Martinez,526,2020,6,0.0,0.0,0.0,0,0.0
3,John,Kristiansen,185,2024,6,0.0,0.0,0.0,0,0.0
4,Jonas,Cooper,191,2021,6,0.0,0.0,0.0,0,0.0
5,Luke,Bouchard,218,2021,6,0.0,0.0,0.0,0,0.0
6,Henry,Nilsen,504,2023,6,0.0,0.0,0.0,0,0.0
7,Samuel,Thompson,555,2021,6,0.0,0.0,0.0,0,0.0
8,Daniel,Bouchard,193,2022,6,0.0,0.0,0.0,0,0.0
9,Jonas,Smith,531,2021,6,2.5,0.0,0.0,0,2.5
10,Joseph,Garcia,902,2023,9,0.0,0.0,0.0,0,0.0
11,Magnus,Jones,491,2020,6,0.0,0.0,0.0,0,0.0
12,Jonas,Andersen,59,2022,6,0.0,0.0,0.0,0,0.0
13,Mason,Wilson,296,2022,6,9.4,6.0,14.5,14,43.9
14,Robert,Gagnon,42,2022,6,2.5,0.0,0.0,0,2.5
15,Carter,Williams,459,2022,6,0.0,0.0,0.0,0,0.0
16,Oscar,Wilson,180,2021,6,0.0,0.0,0.0,0,0.0
17,Michael,Lefebvre,34,2019,6,0.0,0.0,0.0,0,0.0
18,John,Bouchard,68,2020,6,0.0,0.0,0.0,0,0.0
19,Robert,Wilson,464,2021,6,0.0,0.0,0.0,0,0.0
20,Benjamin,Thompson,181,2023,6,0.0,0.0,0.0,0,0.0
21,Samuel,Rodriguez,79,2022,6,0.0,0.0,0.0,0,0.0
22,Noah,Williams,452,2022,6,0.0,0.0,0.0,0,0.0
23,Wyatt,White,88,2020,6,0.0,0.0,0.0,0,0.0
24,John,Wilson,168,2023,9,0.0,0.0,0.0,0,0.0
25,Owen,Williams,404,2022,6,0.0,0.0,0.0,0,0.0
26,Joshua,Evans,18,2019,6,0.0,0.0,0.0,0,0.0
27,Kristian,Thomas,106,2022,6,0.0,0.0,0.0,0,0.0
28,Lars,Larsen,581,2017,6,0.0,0.0,0.0,0,0.0
29,Oskar,Jackson,211,2021,6,0.0,0.0,0.0,0,0.0
30,Mason,Olsen,510,2023,6,0.6,0.0,0.0,0,0.6
31,Alfie,Davis,486,2022,6,3.8,0.0,0.0,0,3.8
32,Samuel,Evans,437,2022,9,0.0,0.0,0.0,0,0.0
33,Edward,Berg,473,2022,6,0.0,0.0,0.0,0,0.0
34,Carter,Bouchard,428,2021,9,0.0,0.0,0.0,0,0.0
35,Luke,Wright,496,2021,6,0.0,0.0,0.0,0,0.0
36,Bjørn,Pelletier,72,2021,6,0.0,0.0,0.0,0,0.0
37,James,Kristiansen,91,2022,6,1.9,0.0,0.0,0,1.9
38,Emil,Wilson,238,2024,9,0.0,0.0,0.0,0,0.0
39,Bjørn,Jackson,561,2022,6,0.0,0.0,0.0,0,0.0
40,Christopher,Martinez,135,2023,6,0.0,0.0,0.0,0,0.0
41,Oskar,Anderson,204,2022,9,0.0,0.0,0.0,0,0.0
42,Oscar,Wright,374,2022,6,0.0,0.0,0.0,0,0.0
43,George,Johnson,375,2021,6,0.0,0.0,0.0,0,0.0
44,Luke,Anderson,158,2022,6,0.0,0.0,0.0,0,0.0
45,Matthew,Kristiansen,210,2022,6,0.6,0.0,2.0,0,2.6
46,Benjamin,Davies,117,2019,6,0.0,0.0,0.0,0,0.0
47,Emil,Wright,533,2021,6,0.0,0.0,0.0,0,0.0
48,George,Olsen,193,2019,6,0.0,0.0,0.0,0,0.0
49,Joseph,Kristiansen,493,2022,6,0.6,0.0,0.0,0,0.6
50,Robert,Jackson,564,2020,6,0.0,0.0,0.0,0,0.0
51,Charlie,Lee,483,2021,6,0.0,0.0,0.0,0,0.0
52,Joseph,Martinez,552,2021,6,4.4,0.0,0.0,0,4.4
53,Harry,Andersen,309,2019,6,0.0,0.0,0.0,0,0.0
54,Harry,Davis,124,2023,6,0.0,0.0,0.0,0,0.0
55,Wyatt,Roberts,230,2023,9,0.0,0.0,0.0,0,0.0
56,Jack,Williams,567,2019,6,0.0,0.0,0.0,0,0.0
57,Bjørn,MacDonald,578,2023,6,5.0,0.0,9.0,0,14.0
58,Michael,Moore,310,2024,6,0.0,0.0,0.0,0,0.0
59,Anders,Taylor,312,2021,6,3.8,0.5,12.0,3,19.3
60,Archie,Baker,608,2024,6,0.0,0.0,0.0,0,0.0
61,Mason,Evans,44,2023,6,0.0,0.0,0.0,0,0.0
62,Thomas,White,400,2023,9,0.0,0.0,0.0,0,0.0
63,Charlie,Moore,394,2023,6,3.8,1.0,4.0,0,8.8
64,Robert,Moore,107,2020,6,0.0,0.0,0.0,0,0.0
65,Owen,Johnson,313,2021,6,0.0,0.0,0.0,0,0.0
66,Nathan,Olsen,952,2020,6,0.0,0.0,0.0,0,0.0
67,Erik,Taylor,67,2019,6,0.0,0.0,0.0,0,0.0
68,Connor,Walker,390,2019,6,0.0,0.0,0.0,0,0.0
69,Arthur,Davies,180,2020,6,0.0,0.0,0.0,0,0.0
